"","勘定科目","補助科目","開始月:2025-10-01","期間借方金額","期間貸方金額","終了月:2026-09-30","構成比"
"売上高"
"売上高合計","","","0","0","0","0","-"
"売上原価"
"売上原価合計","","","0","0","0","0","-"
"売上総利益","","","0","0","0","0","-"
"販売費及び一般管理費"
"","役員報酬","","0","800000","0","800000","-"
"","給料賃金","","0","750000","0","750000","-"
"","法定福利費","","0","117387","0","117387","-"
"","福利厚生費","","0","18818","0","18818","-"
"","荷造運賃","","0","26624","0","26624","-"
"","接待交際費","","0","9720","0","9720","-"
"","旅費交通費","","0","864285","86817","777468","-"
"","","タクシー","0","50493","0","50493",""
"","","宿泊費","0","196606","0","196606",""
"","","電車代","0","82054","13255","68799",""
"","","各種交通機関（電車以外）","0","79387","3364","76023",""
"","","航空券","0","432248","46701","385547",""
"","","補助科目なし","0","23497","23497","0",""
"","通信費","","0","260084","0","260084","-"
"","","携帯料金","0","20670","0","20670",""
"","","プロバイダー・ドメイン使用料","0","2404","0","2404",""
"","","SaaS系サービス","0","225686","0","225686",""
"","","Google","0","11324","0","11324",""
"","水道光熱費","","0","22975","0","22975","-"
"","備品・消耗品費","","0","1321362","826529","494833","-"
"","保険料","","0","800","0","800","-"
"","租税公課","","0","1461655","0","1461655","-"
"","支払手数料","","0","34818","0","34818","-"
"","会議費","","0","297305","0","297305","-"
"","","海外での利用","0","108644","0","108644",""
"","","国内）店内利用（10％）","0","125661","0","125661",""
"","","補助科目なし","0","63000","0","63000",""
"","新聞図書費","","0","191546","0","191546","-"
"","","動画配信サービス","0","27558","0","27558",""
"","","書籍・資料","0","38441","0","38441",""
"","","新聞・雑誌等（web含む）","0","20171","0","20171",""
"","","映画・演劇・イベント等","0","105376","0","105376",""
"","取材費","","0","41516","0","41516","-"
"販売費及び一般管理費合計","","","0","6218895","913346","5305549","-"
"営業損失","","","0","0","-5305549","5305549","-"
"営業外収益"
"","受取利息","","0","0","2729","2729","-"
"営業外収益合計","","","0","0","2729","2729","-"
"営業外費用"
"営業外費用合計","","","0","0","0","0","-"
"経常損失","","","0","0","-5302820","5302820","-"
"特別利益"
"特別利益合計","","","0","0","0","0","-"
"特別損失"
"特別損失合計","","","0","0","0","0","-"
"当期純損益"
"税引前当期純損失","","","0","0","-5302820","5302820","-"
"","法人税等","","0","417","0","417","-"
"当期純損失","","","0","0","-5303237","5303237","-"
